asset,group
ACTG,consumer_discretionary
AIOT,consumer_discretionary
AMPG,consumer_discretionary
AMZN,consumer_discretionary
APPS,consumer_discretionary
ARES,consumer_discretionary
AXON,consumer_discretionary
BKNG,consumer_discretionary
BWEN,consumer_discretionary
BX,consumer_discretionary
CABO,consumer_discretionary
CELH,consumer_discretionary
CHTR,consumer_discretionary
CMG,consumer_discretionary
CPRT,consumer_discretionary
CTLP,consumer_discretionary
CXDO,consumer_discretionary
DHI,consumer_discretionary
EBAY,consumer_discretionary
EL,consumer_discretionary
EXAS,consumer_discretionary
EXPE,consumer_discretionary
EXTR,consumer_discretionary
FRPT,consumer_discretionary
HD,consumer_discretionary
ILMN,consumer_discretionary
INSG,consumer_discretionary
INSM,consumer_discretionary
IRDM,consumer_discretionary
JYNT,consumer_discretionary
QSR,consumer_discretionary
ROL,consumer_discretionary
TSCO,consumer_discretionary
ULTA,consumer_discretionary
XLY,consumer_discretionary
BUD,consumer_staples
CAG,consumer_staples
CALM,consumer_staples
CCEP,consumer_staples
CL,consumer_staples
COKE,consumer_staples
COST,consumer_staples
CPB,consumer_staples
DEO,consumer_staples
DG,consumer_staples
FDP,consumer_staples
FIZZ,consumer_staples
FLO,consumer_staples
FMX,consumer_staples
GIS,consumer_staples
HRL,consumer_staples
HSY,consumer_staples
IMKTA,consumer_staples
KHC,consumer_staples
KMB,consumer_staples
KO,consumer_staples
KR,consumer_staples
MDLZ,consumer_staples
TAP,consumer_staples
XLP,consumer_staples
APA,energy
AR,energy
ARLP,energy
BP,energy
BSM,energy
CHRD,energy
CLMT,energy
CNQ,energy
CNX,energy
COP,energy
CQP,energy
CRK,energy
CTRA,energy
CVI,energy
CVX,energy
DINO,energy
DVN,energy
E,energy
ENB,energy
EOG,energy
EPD,energy
EQNR,energy
IMO,energy
PBR,energy
SLB,energy
SU,energy
TTE,energy
USO,energy
XLE,energy
XOP,energy
ABEV3.SA,equities_br_bluechips
B3SA3.SA,equities_br_bluechips
BBAS3.SA,equities_br_bluechips
BBDC4.SA,equities_br_bluechips
BRKM5.SA,equities_br_bluechips
CMIG4.SA,equities_br_bluechips
CSAN3.SA,equities_br_bluechips
CSNA3.SA,equities_br_bluechips
CYRE3.SA,equities_br_bluechips
ENEV3.SA,equities_br_bluechips
EQTL3.SA,equities_br_bluechips
FLRY3.SA,equities_br_bluechips
GGBR4.SA,equities_br_bluechips
GOAU4.SA,equities_br_bluechips
ITUB4.SA,equities_br_bluechips
KLBN11.SA,equities_br_bluechips
LREN3.SA,equities_br_bluechips
MRVE3.SA,equities_br_bluechips
MULT3.SA,equities_br_bluechips
PCAR3.SA,equities_br_bluechips
PETR4.SA,equities_br_bluechips
PRIO3.SA,equities_br_bluechips
RADL3.SA,equities_br_bluechips
RAIL3.SA,equities_br_bluechips
EEM,equities_ex_us
EFA,equities_ex_us
EWJ,equities_ex_us
EWZ,equities_ex_us
DIA,equities_us_broad
IWM,equities_us_broad
QQQ,equities_us_broad
RSP,equities_us_broad
SPY,equities_us_broad
VT,equities_us_broad
VTI,equities_us_broad
CCZ,equities_us_other
CTGO,equities_us_other
INTZ,equities_us_other
NB,equities_us_other
NTIP,equities_us_other
AD,financials
AFL,financials
AIG,financials
AJG,financials
ALL,financials
AMCX,financials
AMP,financials
AON,financials
ATEX,financials
ATNI,financials
AXP,financials
BAC,financials
BBVA,financials
BK,financials
BLK,financials
C,financials
CB,financials
CCL,financials
CFG,financials
CMCSA,financials
CME,financials
COF,financials
CUK,financials
FIS,financials
FISV,financials
FITB,financials
GM,financials
GPN,financials
GS,financials
HBAN,financials
HDB,financials
HSBC,financials
IBN,financials
KRE,financials
MUFG,financials
RY,financials
SAN,financials
TD,financials
UBS,financials
XLF,financials
A,health_care
ABBV,health_care
ABT,health_care
ALNY,health_care
AMGN,health_care
AZN,health_care
BDX,health_care
BIIB,health_care
BMY,health_care
BR,health_care
BSX,health_care
BTI,health_care
CAH,health_care
CI,health_care
CNC,health_care
COR,health_care
CVS,health_care
DGX,health_care
DHR,health_care
ELV,health_care
EW,health_care
GILD,health_care
HUM,health_care
ICE,health_care
INCY,health_care
NVO,health_care
NVS,health_care
PHG,health_care
SNY,health_care
XLV,health_care
ADP,industrials
AME,industrials
AMWD,industrials
APH,industrials
APO,industrials
AZO,industrials
BA,industrials
CAT,industrials
CBRE,industrials
CMI,industrials
CNI,industrials
CP,industrials
CPAY,industrials
CRH,industrials
CSX,industrials
CTAS,industrials
DAL,industrials
DE,industrials
DGII,industrials
DIS,industrials
DOV,industrials
EME,industrials
EMR,industrials
ENR,industrials
ESE,industrials
F,industrials
FAST,industrials
FBIN,industrials
FDX,industrials
FIX,industrials
FTAI,industrials
GD,industrials
GE,industrials
GLW,industrials
GWW,industrials
JCI,industrials
RACE,industrials
TM,industrials
TT,industrials
XLI,industrials
ADM,materials
AEM,materials
AES,materials
APD,materials
AU,materials
B,materials
BG,materials
CCJ,materials
CDE,materials
CLF,materials
CLW,materials
DAR,materials
ECL,materials
FCX,materials
FNV,materials
GORO,materials
IP,materials
KGC,materials
KRO,materials
MAGN,materials
MLM,materials
PAAS,materials
RIO,materials
WPM,materials
XLB,materials
ACN,real_estate
ADC,real_estate
AGNC,real_estate
AMH,real_estate
AMT,real_estate
ARE,real_estate
AVB,real_estate
BN,real_estate
BRX,real_estate
BXP,real_estate
CCI,real_estate
CUBE,real_estate
DLR,real_estate
DOC,real_estate
EDU,real_estate
EGP,real_estate
