id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2021-01-01;5249.82945833
NE;Nordeste;2021-01-01;9828.78591667
S;Sul;2021-01-01;8564.13254042
SE;Sudeste/Centro-Oeste;2021-01-01;32419.95995833
N;Norte;2021-01-02;5585.21470833
NE;Nordeste;2021-01-02;10433.25187500
S;Sul;2021-01-02;9352.43466667
SE;Sudeste/Centro-Oeste;2021-01-02;33849.02075000
N;Norte;2021-01-03;5302.15920833
NE;Nordeste;2021-01-03;10264.93754167
S;Sul;2021-01-03;9449.49016667
SE;Sudeste/Centro-Oeste;2021-01-03;32674.55983333
N;Norte;2021-01-04;5619.21704167
NE;Nordeste;2021-01-04;11341.37145833
S;Sul;2021-01-04;12307.58212519
SE;Sudeste/Centro-Oeste;2021-01-04;38192.79883333
N;Norte;2021-01-05;5815.49525000
NE;Nordeste;2021-01-05;11500.21833333
S;Sul;2021-01-05;13113.23308422
SE;Sudeste/Centro-Oeste;2021-01-05;40956.48304167
N;Norte;2021-01-06;5880.78945833
NE;Nordeste;2021-01-06;11649.72283333
S;Sul;2021-01-06;13496.34612638
SE;Sudeste/Centro-Oeste;2021-01-06;42709.61745833
N;Norte;2021-01-07;5892.55712500
NE;Nordeste;2021-01-07;11790.41041667
S;Sul;2021-01-07;14101.18954787
SE;Sudeste/Centro-Oeste;2021-01-07;42707.30962500
N;Norte;2021-01-08;5710.04591667
NE;Nordeste;2021-01-08;11860.72862500
S;Sul;2021-01-08;14029.72775000
SE;Sudeste/Centro-Oeste;2021-01-08;42684.93320833
N;Norte;2021-01-09;5516.55216667
NE;Nordeste;2021-01-09;11320.68379167
S;Sul;2021-01-09;12474.98437854
SE;Sudeste/Centro-Oeste;2021-01-09;40121.72104167
N;Norte;2021-01-10;5238.64904167
NE;Nordeste;2021-01-10;10629.98216667
S;Sul;2021-01-10;11276.52091667
SE;Sudeste/Centro-Oeste;2021-01-10;36870.14670833
N;Norte;2021-01-11;5715.24154167
NE;Nordeste;2021-01-11;11639.67645833
S;Sul;2021-01-11;14773.81703975
SE;Sudeste/Centro-Oeste;2021-01-11;42624.12920833
N;Norte;2021-01-12;5734.77454167
NE;Nordeste;2021-01-12;11715.60295833
S;Sul;2021-01-12;14521.52170616
SE;Sudeste/Centro-Oeste;2021-01-12;43514.07616667
N;Norte;2021-01-13;5630.26891667
NE;Nordeste;2021-01-13;11488.17745833
S;Sul;2021-01-13;13856.24720255
SE;Sudeste/Centro-Oeste;2021-01-13;43301.78491667
N;Norte;2021-01-14;5647.95854167
NE;Nordeste;2021-01-14;11216.12029167
S;Sul;2021-01-14;13334.17796099
SE;Sudeste/Centro-Oeste;2021-01-14;42439.43358333
N;Norte;2021-01-15;5578.22233333
NE;Nordeste;2021-01-15;11328.04216667
S;Sul;2021-01-15;13794.84421101
SE;Sudeste/Centro-Oeste;2021-01-15;41710.51762500
N;Norte;2021-01-16;5530.00333333
NE;Nordeste;2021-01-16;10785.14233333
S;Sul;2021-01-16;12019.97833337
SE;Sudeste/Centro-Oeste;2021-01-16;38765.52229167
N;Norte;2021-01-17;5394.17337500
NE;Nordeste;2021-01-17;10210.08412500
S;Sul;2021-01-17;10412.99791667
SE;Sudeste/Centro-Oeste;2021-01-17;36036.69366667
N;Norte;2021-01-18;5484.91770833
