date,value
2018-01-31,14389.0
2018-02-28,18227.0
2018-03-31,52028.0
2018-04-30,43524.0
2018-05-31,48118.0
2018-06-30,44554.0
2018-07-31,25066.0
2018-08-31,11880.0
2018-09-30,36929.0
2018-10-31,42979.0
2018-11-30,25389.0
2018-12-31,51461.0
2019-01-31,-1300.0
2019-02-28,15329.0
2019-03-31,27629.0
2019-04-30,38700.0
2019-05-31,37910.0
2019-06-30,36861.0
2019-07-31,3980.0
2019-08-31,11429.0
2019-09-30,20839.0
2019-10-31,5570.0
2019-11-30,17640.0
2019-12-31,44219.0
2020-01-31,-36421.0
2020-02-29,7025.0
2020-03-31,19025.0
2020-04-30,46187.0
2020-05-31,28331.0
2020-06-30,56831.0
2020-07-31,64246.0
2020-08-31,47395.0
2020-09-30,43157.0
2020-10-31,34514.0
2020-11-30,16928.0
2020-12-31,-19821.0
2021-01-31,-26282.0
2021-02-28,-3750.0
2021-03-31,-5505.0
2021-04-30,88813.0
2021-05-31,76966.0
2021-06-30,77360.0
2021-07-31,63505.0
2021-08-31,56972.0
2021-09-30,25282.0
2021-10-31,11722.0
2021-11-30,-22511.0
2021-12-31,27046.0
2022-01-31,-12306.0
2022-02-28,36909.0
2022-03-31,62658.0
2022-04-30,71256.0
2022-05-31,38860.0
2022-06-30,76333.0
2022-07-31,41737.0
2022-08-31,28075.0
2022-09-30,21332.0
2022-10-31,21569.0
2022-11-30,48602.0
2022-12-31,30291.0
2023-01-31,13021.0
2023-02-28,25946.0
2023-03-31,96683.0
2023-04-30,79188.0
2023-05-31,98737.0
2023-06-30,89733.0
2023-07-31,72861.0
2023-08-31,85377.0
2023-09-30,82077.0
2023-10-31,83394.0
2023-11-30,77733.0
2023-12-31,82570.0
2024-01-31,52686.0
2024-02-29,41444.0
2024-03-31,60842.0
2024-04-30,75237.0
2024-05-31,71685.0
2024-06-30,53661.0
2024-07-31,66671.0
2024-08-31,33632.0
2024-09-30,42263.0
2024-10-31,27866.0
2024-11-30,55423.0
2024-12-31,36720.0
2025-01-31,9868.0
2025-02-28,-15337.0
2025-03-31,67910.0
2025-04-30,64774.0
2025-05-31,59589.0
2025-06-30,47161.0
2025-07-31,58133.0
2025-08-31,47534.0
2025-09-30,18580.0
2025-10-31,51914.0
2025-11-30,43581.0
2025-12-31,76789.0
2026-01-31,26900.0
