date,value
2018-01-31,218549.0
2018-02-28,212381.0
2018-03-31,210092.0
2018-04-30,211432.0
2018-05-31,202360.0
2018-06-30,213971.0
2018-07-31,258995.0
2018-08-31,266388.0
2018-09-30,205185.0
2018-10-31,238986.0
2018-11-30,239084.0
2018-12-31,207997.0
2019-01-31,239969.0
2019-02-28,193064.0
2019-03-31,199494.0
2019-04-30,211653.0
2019-05-31,225659.0
2019-06-30,204433.0
2019-07-31,262183.0
2019-08-31,237685.0
2019-09-30,232931.0
2019-10-31,252465.0
2019-11-30,209415.0
2019-12-31,208447.0
2020-01-31,235411.0
2020-02-29,197715.0
2020-03-31,209910.0
2020-04-30,163380.0
2020-05-31,181917.0
2020-06-30,149857.0
2020-07-31,169055.0
2020-08-31,159889.0
2020-09-30,174806.0
2020-10-31,179435.0
2020-11-30,198257.0
2020-12-31,252346.0
2021-01-31,216009.0
2021-02-28,206971.0
2021-03-31,291457.0
2021-04-30,210314.0
2021-05-31,228891.0
2021-06-30,259568.0
2021-07-31,237600.0
2021-08-31,263231.0
2021-09-30,265552.0
2021-10-31,263395.0
2021-11-30,279914.0
2021-12-31,278011.0
2022-01-31,265612.0
2022-02-28,255333.0
2022-03-31,300412.0
2022-04-30,282893.0
2022-05-31,326173.0
2022-06-30,331497.0
2022-07-31,321264.0
2022-08-31,352038.0
2022-09-30,344163.0
2022-10-31,321603.0
2022-11-30,295808.0
2022-12-31,311694.0
2023-01-31,282744.0
2023-02-28,246610.0
2023-03-31,304204.0
2023-04-30,269847.0
2023-05-31,300744.0
2023-06-30,283835.0
2023-07-31,281438.0
2023-08-31,299103.0
2023-09-30,279821.0
2023-10-31,293323.0
2023-11-30,278544.0
2023-12-31,286930.0
2024-01-31,294839.0
2024-02-29,267691.0
2024-03-31,295091.0
2024-04-30,312794.0
2024-05-31,315171.0
2024-06-30,315679.0
2024-07-31,331880.0
2024-08-31,342820.0
2024-09-30,333067.0
2024-10-31,349379.0
2024-11-30,308161.0
2024-12-31,305956.0
2025-01-31,330272.0
2025-02-28,320862.0
2025-03-31,303132.0
2025-04-30,314694.0
2025-05-31,322125.0
2025-06-30,323620.0
2025-07-31,355220.0
2025-08-31,323804.0
2025-09-30,373772.0
2025-10-31,345759.0
2025-11-30,317731.0
2025-12-31,324247.0
2026-01-31,307470.0
