date,P,P_incc,J,L_credito,L,D
2018-01-31,100.0,0.31,1.31,1410571.0,1410571.0,5.106457595609764
2018-02-28,100.1612288,0.13,1.24,1405303.0,1405303.0,5.1178820259399584
2018-03-31,100.57269987,0.24,1.2,1415763.0,1415763.0,5.095197982421767
2018-04-30,100.98165524,0.29,1.17,1414907.0,1414907.0,5.097054343918093
2018-05-31,101.94651858,0.23,1.18,1419445.0,1419445.0,5.087213025611635
2018-06-30,102.58028881,0.97,1.23,1432717.0,1432717.0,5.058430747832149
2018-07-31,103.26219283,0.61,1.24,1420881.0,1420881.0,5.084098849082752
2018-08-31,103.40321968,0.15,1.23,1434320.0,1434320.0,5.0549544073197525
2018-09-30,103.90549117,0.23,1.24,1440877.0,1440877.0,5.04073459151203
2018-10-31,103.86889216,0.35,1.23,1417390.0,1417390.0,5.163552375605619
2018-11-30,104.36372036,0.13,1.18,1427818.0,1427818.0,5.140937728778879
2018-12-31,104.59843988,0.13,1.16,1462037.0,1462037.0,5.066728810504598
2019-01-31,105.25396087,0.49,1.21,1423002.0,1423002.0,5.079499149627486
2019-02-28,104.84832289,0.09,1.17,1424211.0,1424211.0,5.863369052442831
2019-03-31,104.85211614,0.31,1.11,1436695.0,1436695.0,5.836295668190336
2019-04-30,105.17817458,0.38,1.08,1420024.0,1420024.0,5.872449175789931
2019-05-31,106.3111503,0.03,1.09,1420549.0,1420549.0,5.084818839756561
2019-06-30,106.42964868,0.88,1.07,1419273.0,1419273.0,5.087586032828186
2019-07-31,105.99267769,0.58,1.05,1396922.0,1396922.0,5.9739416720908824
2019-08-31,105.94853987,0.42,1.02,1411215.0,1411215.0,6.027927617321792
2019-09-30,105.98731136,0.46,0.99,1427524.0,1427524.0,5.992559159794242
2019-10-31,107.53943634,0.18,0.98,1415578.0,1415578.0,5.180581593241239
2019-11-30,108.18132449,0.04,0.95,1435147.0,1435147.0,5.053160936575054
2019-12-31,109.51608523,0.21,0.94,1458826.0,1458826.0,5.001809553547593
2020-01-31,108.32712888,0.38,0.99,1431634.0,1431634.0,7.276331829901228
2020-02-29,107.78502498,0.33,0.95,1442009.0,1442009.0,8.275099201057543
2020-03-31,107.54441168,0.26,0.91,1534303.0,1534303.0,8.530516256015133
2020-04-30,107.74689848,0.22,0.97,1554328.0,1554328.0,6.271536669900014
2020-05-31,110.85990103,0.2,0.99,1568161.0,1568161.0,5.22027070166068
2020-06-30,111.15305227,0.34,0.95,1581817.0,1581817.0,4.735085538600572
2020-07-31,111.50457992,1.17,0.94,1609796.0,1609796.0,4.674408975159323
2020-08-31,109.959842,0.72,0.92,1649768.0,1649768.0,7.4149212510169225
2020-09-30,111.07328119,1.16,0.9,1697670.0,1697670.0,7.311038741207325
2020-10-31,111.02564847,1.73,0.92,1719393.0,1719393.0,7.3514457054482065
2020-11-30,110.10532106,1.28,0.89,1751350.0,1751350.0,6.146604815452605
2020-12-31,109.43289426,0.7,0.89,1780450.0,1780450.0,7.329820574054834
2021-01-31,110.55530366,0.89,0.96,1764350.0,1764350.0,7.277219309937968
2021-02-28,111.50138564,1.89,0.92,1774313.0,1774313.0,5.563953116065291
