as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2023-01-02,apollo_10000,Apollo,10000.0,balanced,10000.0,9992.45,6292.45,4,4,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-03,apollo_10000,Apollo,10000.0,balanced,9914.633735630236,9914.633735630236,6292.45,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-04,apollo_10000,Apollo,10000.0,balanced,9912.30945009831,9912.30945009831,6292.45,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-05,apollo_10000,Apollo,10000.0,balanced,9938.897817655492,9938.897817655492,6292.45,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-06,apollo_10000,Apollo,10000.0,balanced,10012.615142047394,10012.615142047394,6292.45,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-09,apollo_10000,Apollo,10000.0,balanced,10063.388715986894,10063.388715986894,6292.45,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-10,apollo_10000,Apollo,10000.0,balanced,10103.301858933894,10103.301858933894,6292.45,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-11,apollo_10000,Apollo,10000.0,balanced,10194.790255963699,10194.790255963699,6292.45,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-12,apollo_10000,Apollo,10000.0,balanced,10304.1121841462,10303.762305752087,6432.051479252408,1,1,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-13,apollo_10000,Apollo,10000.0,balanced,10408.04854375841,10408.04854375841,6432.051479252408,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-16,apollo_10000,Apollo,10000.0,balanced,10560.210967175284,10559.488599648357,6720.276122495973,2,2,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-17,apollo_10000,Apollo,10000.0,balanced,10521.893782123117,10521.893782123117,6720.276122495973,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-18,apollo_10000,Apollo,10000.0,balanced,10543.486918006409,10543.486918006409,6720.276122495973,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-19,apollo_10000,Apollo,10000.0,balanced,10581.723092093114,10581.723092093114,6720.276122495973,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-20,apollo_10000,Apollo,10000.0,balanced,10767.259288200652,10767.259288200652,6720.276122495973,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-23,apollo_10000,Apollo,10000.0,balanced,10780.576031742627,10780.576031742627,6720.276122495973,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD"
2023-01-24,apollo_10000,Apollo,10000.0,risk_on,10727.259951871354,10725.262398306,5919.257142789544,2,2,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA"
2023-01-25,apollo_10000,Apollo,10000.0,risk_on,10795.396645761097,10795.396645761097,5919.257142789544,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA"
2023-01-26,apollo_10000,Apollo,10000.0,risk_on,10800.951976358374,10800.951976358374,5919.257142789544,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA"
2023-01-27,apollo_10000,Apollo,10000.0,risk_on,10770.747632897695,10770.747632897695,5919.257142789544,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA"
2023-01-30,apollo_10000,Apollo,10000.0,risk_on,10691.10539489148,10691.10539489148,5919.257142789544,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA"
2023-01-31,apollo_10000,Apollo,10000.0,risk_on,10735.580540560954,10735.580540560954,5919.257142789544,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA"
2023-02-01,apollo_10000,Apollo,10000.0,risk_on,10848.23529863011,10848.23529863011,5919.257142789544,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA"
