as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2025-01-02,hephaestus_10000,Hephaestus,10000.0,risk_on,15032.272960546252,15032.272960546252,2184.3062956526314,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA,B3SA3.SA,PRIO3.SA"
2025-01-03,hephaestus_10000,Hephaestus,10000.0,risk_on,15200.663446425193,15200.663446425193,2184.3062956526314,0,0,"BTC-USD,ETH-USD,PETR4.SA,ITUB4.SA,B3SA3.SA,PRIO3.SA"
2025-01-06,hephaestus_10000,Hephaestus,10000.0,risk_on,15424.713316032501,15424.242140358003,2372.30538977711,1,1,"BTC-USD,ETH-USD,PETR4.SA,ITUB4.SA,B3SA3.SA,PRIO3.SA"
2025-01-07,hephaestus_10000,Hephaestus,10000.0,risk_on,15051.20849877597,15050.891053573323,2245.00986351545,1,1,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA,B3SA3.SA,PRIO3.SA"
2025-01-08,hephaestus_10000,Hephaestus,10000.0,risk_on,14984.708413097942,14984.708413097942,2245.00986351545,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA,B3SA3.SA,PRIO3.SA"
2025-01-09,hephaestus_10000,Hephaestus,10000.0,risk_on,14757.710585695599,14757.090548241813,1996.374844546913,2,2,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA,B3SA3.SA,PRIO3.SA"
2025-01-10,hephaestus_10000,Hephaestus,10000.0,risk_on,14878.509540492927,14878.353661435307,2100.1383372356604,1,1,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA,B3SA3.SA,PRIO3.SA"
2025-01-13,hephaestus_10000,Hephaestus,10000.0,risk_on,14761.779293375355,14761.779293375355,2100.1383372356604,0,0,"BTC-USD,PETR4.SA,ETH-USD,ITUB4.SA,B3SA3.SA,PRIO3.SA"
2025-01-14,hephaestus_10000,Hephaestus,10000.0,balanced,14935.874760474555,14926.840044806948,4413.599283999275,5,5,"BTC-USD,PETR4.SA,ITUB4.SA,B3SA3.SA,ETH-USD"
2025-01-15,hephaestus_10000,Hephaestus,10000.0,balanced,15239.348421140363,15239.348421140363,4413.599283999275,0,0,"BTC-USD,PETR4.SA,ITUB4.SA,ETH-USD,B3SA3.SA"
2025-01-16,hephaestus_10000,Hephaestus,10000.0,balanced,15248.650888376807,15248.650888376807,4413.599283999275,0,0,"BTC-USD,ITUB4.SA,PETR4.SA,B3SA3.SA,ETH-USD"
2025-01-17,hephaestus_10000,Hephaestus,10000.0,balanced,15441.85364706672,15441.525307310267,4544.606846824667,1,1,"BTC-USD,ITUB4.SA,PETR4.SA,ETH-USD,B3SA3.SA"
2025-01-20,hephaestus_10000,Hephaestus,10000.0,balanced,15321.235790830764,15321.235790830764,4544.606846824667,0,0,"BTC-USD,ITUB4.SA,PETR4.SA,B3SA3.SA,ETH-USD"
2025-01-21,hephaestus_10000,Hephaestus,10000.0,balanced,15492.317272753624,15492.317272753624,4544.606846824667,0,0,"BTC-USD,ITUB4.SA,PETR4.SA,B3SA3.SA,ETH-USD"
2025-01-22,hephaestus_10000,Hephaestus,10000.0,balanced,15395.47315469863,15395.47315469863,4544.606846824667,0,0,"BTC-USD,ITUB4.SA,PETR4.SA,B3SA3.SA,ETH-USD"
2025-01-23,hephaestus_10000,Hephaestus,10000.0,balanced,15411.917317374102,15411.917317374102,4544.606846824667,0,0,"BTC-USD,ITUB4.SA,PETR4.SA,B3SA3.SA,ETH-USD"
