as_of_date,scenario_id,alias,capital_brl,market_state,ticket_id,ticker,side,notional_brl,reason
2025-01-06,hephaestus_10000,Hephaestus,10000.0,risk_on,4d1a834c-da81-4451-b839-a3129e4b4804,BTC-USD,sell,188.470269798976,historical_hephaestus_risk_on
2025-01-07,hephaestus_10000,Hephaestus,10000.0,risk_on,1c7bf864-ad30-490e-87d7-e3151ab74a96,BTC-USD,buy,126.97808105901277,historical_hephaestus_risk_on
2025-01-09,hephaestus_10000,Hephaestus,10000.0,risk_on,64bca65a-5a9f-4b37-baca-72ce9d066b26,BTC-USD,buy,116.96581603941468,historical_hephaestus_risk_on
2025-01-09,hephaestus_10000,Hephaestus,10000.0,risk_on,bc9371dc-9eb6-4a7d-893b-f112ea43c9c9,ETH-USD,buy,131.04916547533549,historical_hephaestus_risk_on
2025-01-10,hephaestus_10000,Hephaestus,10000.0,risk_on,85c99cb6-15af-42ab-a84d-3666cebc3955,PRIO3.SA,sell,103.919371746367,historical_hephaestus_risk_on
2025-01-14,hephaestus_10000,Hephaestus,10000.0,balanced,8011922d-8c72-4913-9612-7216b3c8d318,B3SA3.SA,buy,330.4525867022994,historical_hephaestus_balanced
2025-01-14,hephaestus_10000,Hephaestus,10000.0,balanced,95c0b133-d43b-410c-85b2-a57ea4502256,BTC-USD,sell,1631.8814097140607,historical_hephaestus_balanced
2025-01-14,hephaestus_10000,Hephaestus,10000.0,balanced,58a5e793-fa57-4129-a265-a597fd15a03a,ETH-USD,sell,724.4906487911983,historical_hephaestus_balanced
2025-01-14,hephaestus_10000,Hephaestus,10000.0,balanced,06f875cb-cc40-4cb1-9471-6698a30ef750,ITUB4.SA,buy,734.4141184497989,historical_hephaestus_balanced
2025-01-14,hephaestus_10000,Hephaestus,10000.0,balanced,59a80c93-e3ce-4003-8d16-1d0be23a35d0,PRIO3.SA,sell,1030.990309078062,historical_hephaestus_balanced
2025-01-17,hephaestus_10000,Hephaestus,10000.0,balanced,3e749b58-1476-4425-8ec2-18a85e916909,BTC-USD,sell,131.33590258184586,historical_hephaestus_balanced
2025-01-28,hephaestus_10000,Hephaestus,10000.0,balanced,c772169f-efcb-4584-b0c0-7b15b8323606,ETH-USD,buy,104.55750578845459,historical_hephaestus_balanced
2025-01-28,hephaestus_10000,Hephaestus,10000.0,balanced,fd30f646-86c7-481b-aa50-368715e30235,ITUB4.SA,sell,118.68708062226506,historical_hephaestus_balanced
2025-01-30,hephaestus_10000,Hephaestus,10000.0,balanced,ec74d17f-f55f-4a21-83ef-d47ae81a87ae,B3SA3.SA,sell,128.90203743256484,historical_hephaestus_balanced
2025-02-03,hephaestus_10000,Hephaestus,10000.0,balanced,40a86b9b-c67d-48fd-bfaf-ebb02af71ec2,ETH-USD,buy,104.67695382966144,historical_hephaestus_balanced
2025-02-04,hephaestus_10000,Hephaestus,10000.0,balanced,68bf254c-70ae-49b0-84f4-44724ba2de7b,BTC-USD,buy,124.76213395031664,historical_hephaestus_balanced
2025-02-07,hephaestus_10000,Hephaestus,10000.0,defense,a25378ee-53c5-40ae-ac80-b22891efde89,B3SA3.SA,sell,1536.1980185871207,historical_hephaestus_defense
2025-02-07,hephaestus_10000,Hephaestus,10000.0,defense,cdd330a3-c2f2-47ac-872c-2f8881da2ae2,BTC-USD,sell,2986.8789932237614,historical_hephaestus_defense
2025-02-07,hephaestus_10000,Hephaestus,10000.0,defense,44f5cbd1-c0bb-4a00-b980-95f499a4cd19,ETH-USD,sell,1398.5160788998526,historical_hephaestus_defense
2025-02-07,hephaestus_10000,Hephaestus,10000.0,defense,b4ad9251-0376-4df4-b118-6a26eb564ea7,ITUB4.SA,sell,2359.906482374836,historical_hephaestus_defense
2025-02-07,hephaestus_10000,Hephaestus,10000.0,defense,9cc3165f-d43f-46ba-9d7c-529b3516370b,PETR4.SA,sell,2281.147113915956,historical_hephaestus_defense
2025-02-12,hephaestus_10000,Hephaestus,10000.0,balanced,b5f84743-4590-49cc-9162-b3d283b50c8e,B3SA3.SA,buy,1499.9410318048963,historical_hephaestus_balanced
2025-02-12,hephaestus_10000,Hephaestus,10000.0,balanced,eed52c92-a21e-46a4-9e70-9d53c5a823f5,BTC-USD,buy,2999.8820636097926,historical_hephaestus_balanced
2025-02-12,hephaestus_10000,Hephaestus,10000.0,balanced,8c4ad321-c1f7-495c-9eba-69949b5c6478,ETH-USD,buy,1499.9410318048963,historical_hephaestus_balanced
2025-02-12,hephaestus_10000,Hephaestus,10000.0,balanced,ddb105ea-8ae1-469b-97fe-27b867d17f9e,ITUB4.SA,buy,2249.911547707344,historical_hephaestus_balanced
2025-02-12,hephaestus_10000,Hephaestus,10000.0,balanced,c46549a9-234f-4935-b33e-a97cd46e0a7f,PETR4.SA,buy,2249.911547707344,historical_hephaestus_balanced
2025-02-21,hephaestus_10000,Hephaestus,10000.0,balanced,7b6b9ff6-d540-4995-aec1-b2ebe7276e0b,PETR4.SA,sell,102.95089301561484,historical_hephaestus_balanced
2025-02-24,hephaestus_10000,Hephaestus,10000.0,balanced,55c089af-d307-41b1-bfe7-4d7825848b01,BTC-USD,buy,134.63339034432101,historical_hephaestus_balanced
2025-02-26,hephaestus_10000,Hephaestus,10000.0,balanced,d32fd23c-3a9d-480e-b332-29d1310c08a1,BTC-USD,buy,159.65470012745118,historical_hephaestus_balanced
2025-02-26,hephaestus_10000,Hephaestus,10000.0,balanced,71ed8f4e-9f37-42f1-9c57-bab0efa10274,ETH-USD,buy,153.18649338060777,historical_hephaestus_balanced
2025-02-27,hephaestus_10000,Hephaestus,10000.0,defense,c804b6ec-7f89-41a2-8012-9dfade288509,B3SA3.SA,sell,1453.7471142293634,historical_hephaestus_defense
2025-02-27,hephaestus_10000,Hephaestus,10000.0,defense,e3f283fb-a60f-4cd9-afdb-98bb44957487,BTC-USD,sell,2881.554431939791,historical_hephaestus_defense
2025-02-27,hephaestus_10000,Hephaestus,10000.0,defense,67d58c6b-4278-48a5-9ba7-a310fc89d668,ETH-USD,sell,1415.4068621355443,historical_hephaestus_defense
