as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2024-01-02,hermes_10000,Hermes,10000.0,balanced,17076.71239114642,17057.074171896602,9201.786471969248,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-01-03,hermes_10000,Hermes,10000.0,balanced,16612.539829122194,16612.539829122194,9201.786471969248,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-01-04,hermes_10000,Hermes,10000.0,defense,16871.657590836057,16852.48291303889,16852.48291303889,3,3,
2024-01-05,hermes_10000,Hermes,10000.0,defense,16852.48291303889,16852.48291303889,16852.48291303889,0,0,
2024-01-08,hermes_10000,Hermes,10000.0,defense,16852.48291303889,16852.48291303889,16852.48291303889,0,0,
2024-01-09,hermes_10000,Hermes,10000.0,defense,16852.48291303889,16852.48291303889,16852.48291303889,0,0,
2024-01-10,hermes_10000,Hermes,10000.0,defense,16852.48291303889,16852.48291303889,16852.48291303889,0,0,
2024-01-11,hermes_10000,Hermes,10000.0,defense,16852.48291303889,16852.48291303889,16852.48291303889,0,0,
2024-01-12,hermes_10000,Hermes,10000.0,defense,16852.48291303889,16852.48291303889,16852.48291303889,0,0,
2024-01-15,hermes_10000,Hermes,10000.0,defense,16852.48291303889,16852.48291303889,16852.48291303889,0,0,
2024-01-16,hermes_10000,Hermes,10000.0,balanced,16852.48291303889,16833.102557688897,9080.960417691007,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-01-17,hermes_10000,Hermes,10000.0,balanced,16809.024429847494,16809.024429847494,9080.960417691007,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-01-18,hermes_10000,Hermes,10000.0,balanced,16512.70490271559,16512.70490271559,9080.960417691007,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-01-19,hermes_10000,Hermes,10000.0,balanced,16552.337902456806,16552.337902456806,9080.960417691007,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-01-22,hermes_10000,Hermes,10000.0,balanced,16059.074618714074,16058.05196840511,8670.877643796635,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-01-23,hermes_10000,Hermes,10000.0,balanced,16028.409995426795,16028.409995426795,8670.877643796635,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-01-24,hermes_10000,Hermes,10000.0,balanced,16107.018278022442,16107.018278022442,8670.877643796635,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-01-25,hermes_10000,Hermes,10000.0,balanced,16050.545200523884,16050.545200523884,8670.877643796635,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-01-26,hermes_10000,Hermes,10000.0,balanced,16361.887132418029,16361.256807805217,8922.377164308307,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-01-29,hermes_10000,Hermes,10000.0,balanced,16681.972160835154,16681.702840738442,9029.835882895946,1,1,"BTC-USD,ETH-USD,SOL-USD"
