as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2024-01-02,zeus_10000,Zeus,10000.0,balanced,13403.767376201367,13392.374173931596,7494.716528402994,4,4,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-03,zeus_10000,Zeus,10000.0,balanced,13275.279427675021,13275.279427675021,7494.716528402994,0,0,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-04,zeus_10000,Zeus,10000.0,defense,13395.22343887854,13383.884292632954,13383.884292632954,4,4,
2024-01-05,zeus_10000,Zeus,10000.0,defense,13383.884292632954,13383.884292632954,13383.884292632954,0,0,
2024-01-08,zeus_10000,Zeus,10000.0,defense,13383.884292632954,13383.884292632954,13383.884292632954,0,0,
2024-01-09,zeus_10000,Zeus,10000.0,defense,13383.884292632954,13383.884292632954,13383.884292632954,0,0,
2024-01-10,zeus_10000,Zeus,10000.0,defense,13383.884292632954,13383.884292632954,13383.884292632954,0,0,
2024-01-11,zeus_10000,Zeus,10000.0,defense,13383.884292632954,13383.884292632954,13383.884292632954,0,0,
2024-01-12,zeus_10000,Zeus,10000.0,defense,13383.884292632954,13383.884292632954,13383.884292632954,0,0,
2024-01-15,zeus_10000,Zeus,10000.0,defense,13383.884292632954,13383.884292632954,13383.884292632954,0,0,
2024-01-16,zeus_10000,Zeus,10000.0,balanced,13383.884292632954,13372.507990984217,7483.598902225716,4,4,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-17,zeus_10000,Zeus,10000.0,balanced,13298.221788492823,13298.221788492823,7483.598902225716,0,0,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-18,zeus_10000,Zeus,10000.0,balanced,13209.287365099757,13209.287365099757,7483.598902225716,0,0,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-19,zeus_10000,Zeus,10000.0,balanced,13215.75823177602,13215.75823177602,7483.598902225716,0,0,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-22,zeus_10000,Zeus,10000.0,balanced,13071.749396259785,13071.470983987647,7371.955581097877,1,1,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-23,zeus_10000,Zeus,10000.0,balanced,13055.434597013242,13055.434597013242,7371.955581097877,0,0,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-24,zeus_10000,Zeus,10000.0,balanced,13092.591406333555,13092.591406333555,7371.955581097877,0,0,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-25,zeus_10000,Zeus,10000.0,balanced,13061.540214461947,13061.540214461947,7371.955581097877,0,0,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-26,zeus_10000,Zeus,10000.0,balanced,13230.41260675546,13230.41260675546,7371.955581097877,0,0,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-29,zeus_10000,Zeus,10000.0,balanced,13366.327652365433,13365.998926719138,7503.117113969694,1,1,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
2024-01-30,zeus_10000,Zeus,10000.0,balanced,13381.879306593653,13381.723523370783,7606.816812659834,1,1,"PETR4.SA,BTC-USD,ITUB4.SA,ETH-USD"
